# Time-averaged data for fix dta
# TimeStep v_myrho v_mylx v_myly v_mylz v_myp
112000 1.263 41.9134 37.7138 52.1322 -3226.09
113000 1.26336 41.8996 37.7048 52.1472 -1371.7
114000 1.26337 41.8846 37.7071 52.1622 -2377.25
115000 1.2633 41.8751 37.7069 52.1772 -810.711
116000 1.26328 41.8652 37.7056 52.1922 -3407.08
117000 1.26266 41.8676 37.711 52.2072 -2806.94
118000 1.26148 41.8797 37.7246 52.2222 -2583.66
119000 1.26008 41.8983 37.7388 52.2372 584.596
120000 1.25818 41.9256 37.7605 52.2522 -3219.68
121000 1.25643 41.9498 37.7803 52.2672 -786.921
122000 1.25552 41.9557 37.7917 52.2822 -718.804
123000 1.25503 41.9573 37.7941 52.2972 -2331.98
124000 1.25459 41.9572 37.7966 52.3122 -1014.93
125000 1.25485 41.9424 37.7913 52.3272 -878.939
126000 1.25522 41.9166 37.7924 52.3422 -1736.36
127000 1.25552 41.8884 37.7983 52.3572 -2190.5
128000 1.25607 41.8588 37.7974 52.3722 -2021.78
129000 1.25663 41.8292 37.7965 52.3872 -1055.11
130000 1.25731 41.7959 37.7953 52.4022 -1400.87
131000 1.25823 41.7548 37.794 52.4172 -1194.92
132000 1.25956 41.7089 37.785 52.4322 -1355.23
133000 1.26043 41.669 37.7841 52.4472 -1759.74
134000 1.26095 41.634 37.7896 52.4622 -2486.54
135000 1.26109 41.6166 37.7902 52.4772 -552.519
136000 1.26112 41.6067 37.7875 52.4922 -3993.21
137000 1.26125 41.5954 37.7832 52.5072 -1876.6
138000 1.26221 41.5766 37.7606 52.5222 -3628.18
139000 1.26286 41.5675 37.7388 52.5372 -531.125
140000 1.26337 41.5614 37.7184 52.5522 -131.372
141000 1.26325 41.5676 37.7056 52.5672 -1179.76
142000 1.26296 41.5791 37.693 52.5822 114.344
143000 1.26226 41.597 37.687 52.5972 -2092.75
144000 1.26135 41.6202 37.6822 52.6122 -2480.44
145000 1.26029 41.6529 37.6738 52.6272 -1452.78
146000 1.25991 41.6787 37.651 52.6422 42.0352
147000 1.2597 41.698 37.6291 52.6572 -2626.83
148000 1.26002 41.7066 37.6012 52.6722 -781.591
149000 1.26049 41.7057 37.5772 52.6872 -2994.67
150000 1.26089 41.6971 37.5624 52.7022 -2029.54
151000 1.26041 41.6986 37.5646 52.7172 -1973.41
152000 1.25973 41.7018 37.5711 52.7322 -1973.02
153000 1.25902 41.7044 37.5794 52.7472 -1776.05
154000 1.25856 41.7038 37.5829 52.7622 -1324.13
155000 1.25888 41.6893 37.5758 52.7772 -1975.37
156000 1.25999 41.6555 37.5624 52.7922 -3363.87
157000 1.26168 41.6137 37.5391 52.8072 -912.644
158000 1.2632 41.5743 37.5188 52.8222 -934.744
159000 1.26406 41.5469 37.5074 52.8372 -935.64
160000 1.26398 41.5308 37.5138 52.8522 -1499.38
161000 1.26413 41.5112 37.5164 52.8672 -748.704
162000 1.26365 41.5008 37.5295 52.8822 -1595.65
163000 1.26262 41.4966 37.553 52.8972 -1588.24
164000 1.26123 41.5021 37.5787 52.9122 -2508.63
165000 1.25997 41.5076 37.6008 52.9272 -1451.53
166000 1.25919 41.5057 37.6151 52.9422 -2378.46
167000 1.25902 41.499 37.6155 52.9572 -1285.23
