Force(nN),Distance(Å)
0.000,0.00000
0.020,13.12630
0.040,15.55687
0.060,17.67636
0.080,19.68415
0.100,21.55812
0.120,22.55481
0.140,23.44925
0.160,25.26930
0.180,25.76934
0.200,26.08763
0.220,26.72898
0.240,27.00504
0.260,28.40486
0.280,28.61413
0.300,29.76060
0.320,29.98199
0.340,30.10189
0.360,33.34876
0.380,33.49247
0.400,33.59535
0.420,33.82231
0.440,33.93020
0.460,34.06066
0.480,34.18966
0.500,38.48349
0.520,43.62299
0.540,48.33923
0.560,48.36512
0.580,48.44042
0.600,48.52403
0.620,48.65593
0.640,48.71922
0.660,48.79535
0.680,50.27298
0.700,50.41458
0.720,50.47711
0.740,50.55895
0.760,50.63266
0.780,51.07565
0.800,51.13062
0.820,51.28629
0.840,51.34445
0.860,51.40675
0.880,56.24446
0.900,61.05459
0.920,66.84486
0.940,70.25170
0.960,83.27138
0.980,91.57809
1.000,111.82785
