Force(nN),Distance(Å)
0.000,0.00000
0.020,5.18878
0.040,8.13629
0.060,9.73030
0.080,11.20561
0.100,12.13752
0.120,13.47184
0.140,13.83175
0.160,14.27831
0.180,14.56913
0.200,15.05201
0.220,15.50552
0.240,15.77972
0.260,16.41855
0.280,16.98529
0.300,17.19917
0.320,17.43750
0.340,17.59055
0.360,17.89384
0.380,18.08402
0.400,18.21422
0.420,18.58665
0.440,18.79695
0.460,18.91586
0.480,20.89573
0.500,20.96179
0.520,21.04129
0.540,21.13063
0.560,21.29827
0.580,21.35240
0.600,21.66386
0.620,21.72060
0.640,21.79060
0.660,21.82223
0.680,28.46994
0.700,35.98746
0.720,36.05252
0.740,36.11617
0.760,36.19177
0.780,36.26383
0.800,36.33797
0.820,36.40589
0.840,36.82001
0.860,36.87338
0.880,38.82413
0.900,45.54735
0.920,52.33219
0.940,58.54988
0.960,75.09601
0.980,88.57916
1.000,168.59783
