Force(nN),Distance(Å)
0.000,0.00000
0.020,7.03904
0.040,9.23016
0.060,9.77384
0.080,10.53556
0.100,11.06784
0.120,11.37568
0.140,11.99919
0.160,12.32939
0.180,12.76231
0.200,13.04493
0.220,13.24243
0.240,13.61296
0.260,14.37660
0.280,14.53448
0.300,14.93796
0.320,15.08140
0.340,15.33806
0.360,16.37957
0.380,16.49128
0.400,16.88809
0.420,16.98356
0.440,17.34887
0.460,17.48452
0.480,17.55555
0.500,18.57211
0.520,18.63707
0.540,18.70507
0.560,18.83492
0.580,18.89083
0.600,18.96070
0.620,19.10795
0.640,19.15246
0.660,19.31126
0.680,19.36896
0.700,19.42200
0.720,19.48590
0.740,19.55517
0.760,22.24950
0.780,22.29624
0.800,22.35013
0.820,22.41152
0.840,22.46802
0.860,28.90301
0.880,34.06515
0.900,36.93633
0.920,44.28644
0.940,54.27366
0.960,53.11951
0.980,67.73639
1.000,78.99544
1.020,100.50065
