Force(nN),Distance(Å)
0.000,0.00000
0.020,13.09582
0.040,15.17048
0.060,15.12189
0.080,15.78035
0.100,16.44577
0.120,17.00628
0.140,17.50447
0.160,18.36835
0.180,18.79732
0.200,19.04837
0.220,19.78546
0.240,20.08315
0.260,20.65155
0.280,20.88786
0.300,21.07427
0.320,24.29609
0.340,24.51176
0.360,24.67261
0.380,24.78241
0.400,24.96227
0.420,25.06547
0.440,25.29144
0.460,25.38263
0.480,25.69019
0.500,25.85620
0.520,25.96804
0.540,27.07759
0.560,27.13786
0.580,27.30434
0.600,27.36822
0.620,27.48668
0.640,27.56090
0.660,27.93856
0.680,28.01343
0.700,28.09826
0.720,28.18986
0.740,32.38282
0.760,32.44178
0.780,32.50969
0.800,32.54148
0.820,32.69429
0.840,32.74615
0.860,32.77574
0.880,39.23692
0.900,42.51487
0.920,47.90530
0.940,52.71703
0.960,53.42370
0.980,59.02738
1.000,63.44873
1.020,70.22231
1.040,75.14921
1.060,82.41625
1.080,93.12836
1.100,84.84891
1.120,115.20984
