Force(nN),Distance(Å)
0.000,0.00000
0.020,14.92522
0.040,18.44844
0.060,21.24457
0.080,21.87887
0.100,22.46689
0.120,23.04889
0.140,23.37497
0.160,23.97617
0.180,24.62396
0.200,24.96182
0.220,25.30811
0.240,25.62833
0.260,25.82066
0.280,26.09405
0.300,26.34733
0.320,26.59383
0.340,26.76982
0.360,26.96648
0.380,27.09396
0.400,27.48239
0.420,27.60803
0.440,27.80890
0.460,28.95902
0.480,29.08069
0.500,29.19507
0.520,29.34367
0.540,29.57118
0.560,29.66639
0.580,29.78768
0.600,31.18834
0.620,31.26195
0.640,31.37049
0.660,31.43974
0.680,31.52331
0.700,31.60812
0.720,31.75800
0.740,31.83270
0.760,31.91424
0.780,31.99493
0.800,32.15708
0.820,32.23178
0.840,40.80853
0.860,45.91297
0.880,50.64977
0.900,56.38424
0.920,63.26110
0.940,81.04093
0.960,101.88327
0.980,120.14054
