Force(nN),Distance(Å)
0.000,0.00000
0.020,3.30713
0.040,4.56360
0.060,5.77138
0.080,6.35618
0.100,6.82998
0.120,7.26839
0.140,7.96775
0.160,8.66554
0.180,8.89491
0.200,9.12358
0.220,9.29976
0.240,10.60028
0.260,10.76546
0.280,10.94195
0.300,11.17023
0.320,11.80770
0.340,11.97280
0.360,12.16805
0.380,12.35690
0.400,12.51203
0.420,12.91058
0.440,13.46553
0.460,13.56417
0.480,13.73751
0.500,14.24819
0.520,14.33907
0.540,16.23515
0.560,16.31440
0.580,16.39335
0.600,16.47374
0.620,16.55022
0.640,17.65147
0.660,17.71318
0.680,17.78049
0.700,17.85089
0.720,18.77560
0.740,18.84754
0.760,18.92081
0.780,18.99188
0.800,19.06516
0.820,19.13784
0.840,19.21216
0.860,19.33376
0.880,19.39691
0.900,19.46198
0.920,19.58747
0.940,19.64746
0.960,19.71435
0.980,19.78319
1.000,19.85524
1.020,23.37441
1.040,23.43600
1.060,23.53112
1.080,23.59518
1.100,23.69455
1.120,23.75880
1.140,23.83143
1.160,23.94051
1.180,24.01047
1.200,24.09128
1.220,24.16831
1.240,24.24220
1.260,24.34461
1.280,24.43154
1.300,33.55233
1.320,40.42079
1.340,49.64987
1.360,55.94089
1.380,60.85040
1.400,64.92055
1.420,76.09848
1.440,87.26250
1.460,108.31029
