Force(nN),Distance(Å)
0.000,0.00000
0.020,13.54260
0.040,22.55189
0.060,24.28636
0.080,27.65358
0.100,28.73123
0.120,29.62384
0.140,30.40249
0.160,31.20120
0.180,31.89586
0.200,32.37483
0.220,34.08701
0.240,34.40152
0.260,36.26262
0.280,36.44125
0.300,36.57771
0.320,36.89431
0.340,37.03021
0.360,37.17615
0.380,38.94979
0.400,39.09620
0.420,39.32634
0.440,39.50227
0.460,39.61897
0.480,40.51088
0.500,41.12713
0.520,41.21015
0.540,41.32577
0.560,41.46522
0.580,41.54521
0.600,41.62810
0.620,41.75267
0.640,41.83721
0.660,41.95643
0.680,42.02527
0.700,42.10080
0.720,42.25683
0.740,42.33264
0.760,42.41284
0.780,44.63288
0.800,44.70622
0.820,44.78391
0.840,44.95438
0.860,45.01936
0.880,45.16720
0.900,45.23530
0.920,45.30877
0.940,45.38650
0.960,49.69211
0.980,50.19683
1.000,50.24899
1.020,50.30698
1.040,50.36608
1.060,50.47667
1.080,50.52427
1.100,50.57901
1.120,50.93555
1.140,50.98626
1.160,51.03933
1.180,51.09424
1.200,51.14719
1.220,51.20150
1.240,51.25625
1.260,51.44594
1.280,51.49814
1.300,51.54849
1.320,51.60508
1.340,51.65776
1.360,51.71780
1.380,57.98031
1.400,63.23052
1.420,67.03663
1.440,72.79228
1.460,77.03084
1.480,84.53491
1.500,92.40916
1.520,97.90399
1.540,106.54513
1.560,122.61021
1.580,146.93193
