Force(nN),Distance(Å)
0.000,0.00000
0.020,2.44659
0.040,4.05080
0.060,5.14141
0.080,7.13810
0.100,11.26711
0.120,12.02150
0.140,13.23968
0.160,13.90578
0.180,16.24954
0.200,16.43233
0.220,16.67377
0.240,16.83306
0.260,17.08833
0.280,17.23017
0.300,17.34532
0.320,37.87869
0.340,38.03686
0.360,38.20513
0.380,38.45692
0.400,38.58779
0.420,39.10293
0.440,39.25095
0.460,39.38118
0.480,40.51191
0.500,40.65892
0.520,42.20832
0.540,42.29758
0.560,42.39186
0.580,42.58317
0.600,42.67539
0.620,42.76527
0.640,42.95326
0.660,43.03999
0.680,44.21512
0.700,44.30100
0.720,44.38557
0.740,44.47275
0.760,44.72203
0.780,44.80254
0.800,44.88879
0.820,45.23164
0.840,50.55125
0.860,52.72538
0.880,52.78661
0.900,52.85233
0.920,52.91484
0.940,52.97634
0.960,53.04426
0.980,53.11234
1.000,53.17529
1.020,53.45474
1.040,53.50617
1.060,53.56297
1.080,53.61796
1.100,68.25584
1.120,73.41602
1.140,80.02770
1.160,88.38200
1.180,102.15387
1.200,97.70313
1.220,115.77987
