Force(nN),Distance(Å)
0.000,0.00000
0.020,4.02135
0.040,6.21443
0.060,7.61213
0.080,8.34959
0.100,18.87046
0.120,19.49161
0.140,20.04535
0.160,36.46102
0.180,36.76900
0.200,37.13722
0.220,37.57143
0.240,38.40018
0.260,38.74884
0.280,39.58121
0.300,53.11905
0.320,53.42466
0.340,57.52080
0.360,57.72826
0.380,57.93300
0.400,58.14475
0.420,58.38187
0.440,60.48858
0.460,62.61561
0.480,62.73172
0.500,62.94177
0.520,63.05270
0.540,63.30644
0.560,63.55556
0.580,65.43846
0.600,65.57520
0.620,66.28146
0.640,66.37860
0.660,66.50168
0.680,66.63170
0.700,67.79153
0.720,67.87987
0.740,67.96681
0.760,68.05592
0.780,68.15701
0.800,68.59176
0.820,68.66387
0.840,68.73943
0.860,68.81220
0.880,68.88897
0.900,68.97843
0.920,69.04605
0.940,69.11929
0.960,69.19466
0.980,69.27279
1.000,69.34545
1.020,69.41690
1.040,69.50260
1.060,69.57302
1.080,69.64874
1.100,69.75037
1.120,73.70357
1.140,75.51230
1.160,82.06296
1.180,86.41812
1.200,91.86199
1.220,97.32713
1.240,102.54876
1.260,107.55364
1.280,116.21320
1.300,123.17928
1.320,131.83267
1.340,143.75954
1.360,150.83609
1.380,153.70849
1.400,164.61404
