Force(nN),Distance(Å)
0.000,0.00000
0.020,2.92613
0.040,3.85514
0.060,4.35551
0.080,5.15057
0.100,5.40472
0.120,5.67649
0.140,6.07170
0.160,6.18382
0.180,6.57720
0.200,6.76767
0.220,7.06391
0.240,7.23197
0.260,7.41487
0.280,7.72449
0.300,7.87108
0.320,8.06479
0.340,8.16491
0.360,8.47709
0.380,8.99736
0.400,9.06530
0.420,9.15144
0.440,9.23675
0.460,9.36797
0.480,9.42563
0.500,9.54755
0.520,9.60764
0.540,9.67679
0.560,9.75350
0.580,9.92320
0.600,9.95949
0.620,9.98474
0.640,10.95407
0.660,11.13106
0.680,11.18828
0.700,11.21668
0.720,11.62407
0.740,11.67813
0.760,11.73056
0.780,19.50080
0.800,25.85001
0.820,29.06005
0.840,35.70428
0.860,41.35552
0.880,50.72030
0.900,72.55723
0.920,78.53006
0.940,111.12202
