Force(nN),Distance(Å)
0.000,0.00000
0.020,0.26557
0.040,0.47155
0.060,1.78282
0.080,2.33547
0.100,2.71162
0.120,3.06004
0.140,3.72913
0.160,5.75686
0.180,23.51600
0.200,24.14545
0.220,25.16883
0.240,44.17979
0.260,44.40207
0.280,44.66446
0.300,46.04686
0.320,46.27466
0.340,46.70385
0.360,46.95960
0.380,49.66624
0.400,49.94579
0.420,50.18887
0.440,50.34898
0.460,52.51383
0.480,52.79945
0.500,59.47842
0.520,61.49619
0.540,61.58713
0.560,61.68738
0.580,63.57039
0.600,63.66150
0.620,63.80439
0.640,63.88933
0.660,63.98341
0.680,64.07861
0.700,64.44971
0.720,64.54490
0.740,65.44240
0.760,65.51149
0.780,65.59121
0.800,65.67692
0.820,69.39329
0.840,75.78611
0.860,80.70420
0.880,93.37235
0.900,99.40350
0.920,106.02981
0.940,111.81401
0.960,118.78363
0.980,126.31765
1.000,143.32014
