Force(nN),Distance(Å)
0.000,0.00000
0.020,5.96364
0.040,8.24803
0.060,15.22719
0.080,16.19487
0.100,17.21229
0.120,18.06263
0.140,19.33000
0.160,19.79790
0.180,20.31430
0.200,20.73442
0.220,21.22730
0.240,21.60462
0.260,22.96883
0.280,23.34001
0.300,23.66065
0.320,24.43797
0.340,25.43082
0.360,25.72546
0.380,25.98291
0.400,26.12737
0.420,26.43185
0.440,26.56780
0.460,26.80812
0.480,26.92123
0.500,27.29434
0.520,27.45694
0.540,27.56371
0.560,27.69285
0.580,28.66050
0.600,30.08884
0.620,30.16669
0.640,30.24179
0.660,30.32635
0.680,30.40705
0.700,30.48707
0.720,30.56971
0.740,30.82757
0.760,30.89756
0.780,30.97237
0.800,31.04694
0.820,31.17988
0.840,31.23898
0.860,31.30912
0.880,31.38446
0.900,35.89653
0.920,41.97816
0.940,45.68681
0.960,52.47115
0.980,56.91706
1.000,65.33393
1.020,75.07221
1.040,82.74675
1.060,94.42656
1.080,117.19958
