Force(nN),Distance(Å)
0.000,0.00000
0.020,21.64110
0.040,24.37967
0.060,29.49934
0.080,30.95803
0.100,32.38441
0.120,35.90850
0.140,40.44398
0.160,42.61159
0.180,43.81002
0.200,44.73664
0.220,45.31815
0.240,46.01164
0.260,47.16281
0.280,47.58065
0.300,49.06731
0.320,49.40491
0.340,50.34898
0.360,50.68617
0.380,51.12150
0.400,51.35086
0.420,52.17961
0.440,52.40365
0.460,52.66117
0.480,53.17019
0.500,53.74254
0.520,53.89200
0.540,54.16897
0.560,54.30573
0.580,54.45675
0.600,54.76397
0.620,54.89429
0.640,55.02312
0.660,55.16041
0.680,55.37414
0.700,55.47930
0.720,55.61971
0.740,55.77127
0.760,55.87054
0.780,55.99526
0.800,56.11184
0.820,56.33544
0.840,56.34917
0.860,56.46950
0.880,56.57893
0.900,56.78091
0.920,56.86453
0.940,60.97082
0.960,62.58658
0.980,67.25196
1.000,71.87578
1.020,75.53804
1.040,79.75576
1.060,84.61111
1.080,90.93945
1.100,95.61135
1.120,104.72910
1.140,114.24696
1.160,123.31220
1.180,129.99165
1.200,135.72653
1.220,150.34651
