Force(nN),Distance(Å)
0.000,0.00000
0.020,0.32901
0.040,0.89240
0.060,1.69652
0.080,9.20716
0.100,9.86238
0.120,10.79824
0.140,52.76778
0.160,53.18513
0.180,53.79325
0.200,54.19667
0.220,54.75757
0.240,55.17534
0.260,55.87749
0.280,56.22879
0.300,56.44771
0.320,56.68197
0.340,56.97054
0.360,57.17002
0.380,57.58716
0.400,57.84738
0.420,61.10279
0.440,61.22814
0.460,61.35985
0.480,61.49006
0.500,61.66315
0.520,61.77097
0.540,62.13881
0.560,62.24890
0.580,62.36268
0.600,62.54508
0.620,64.51573
0.640,64.58403
0.660,64.65610
0.680,66.43818
0.700,72.13671
0.720,76.36661
0.740,80.52654
0.760,86.24991
0.780,92.07614
0.800,99.95798
0.820,106.52356
0.840,112.36421
0.860,119.75425
0.880,142.04299
0.900,150.43485
