Force(nN),Distance(Å)
0.000,0.00000
0.020,1.52170
0.040,2.50572
0.060,3.68224
0.080,3.98245
0.100,4.52396
0.120,4.85068
0.140,5.52857
0.160,5.69801
0.180,6.21564
0.200,6.71513
0.220,7.40240
0.240,7.99560
0.260,8.61988
0.280,8.77211
0.300,8.86897
0.320,9.33640
0.340,9.89461
0.360,10.03214
0.380,10.16331
0.400,10.23522
0.420,10.40844
0.440,10.46669
0.460,10.68956
0.480,10.77521
0.500,10.82943
0.520,11.09589
0.540,11.14855
0.560,11.23167
0.580,11.39448
0.600,11.52766
0.620,11.56875
0.640,11.64422
0.660,11.74922
0.680,12.33833
0.700,12.39140
0.720,12.46168
0.740,12.54841
0.760,13.44649
0.780,13.49946
0.800,13.56039
0.820,13.80666
0.840,13.85936
0.860,13.92198
0.880,13.97265
0.900,14.17078
0.920,14.22806
0.940,14.25140
0.960,19.41602
0.980,24.91320
1.000,28.94816
1.020,33.12953
1.040,37.65425
1.060,42.13564
1.080,47.23969
1.100,51.54773
1.120,57.52097
1.140,64.57426
1.160,71.59117
1.180,79.93915
1.200,96.39912
1.220,111.71538
