Force(nN),Distance(Å)
0.000,0.00000
0.020,15.08096
0.040,16.02846
0.060,16.55731
0.080,17.17950
0.100,17.61667
0.120,17.97975
0.140,18.21593
0.160,18.50671
0.180,18.74038
0.200,19.06962
0.220,19.25237
0.240,19.46372
0.260,19.83214
0.280,20.01644
0.300,20.95233
0.320,21.14132
0.340,21.29747
0.360,21.40306
0.380,22.29613
0.400,22.40926
0.420,23.63666
0.440,23.70338
0.460,23.80349
0.480,23.90154
0.500,23.96869
0.520,24.09208
0.540,27.09925
0.560,27.15196
0.580,27.21066
0.600,27.26851
0.620,27.32673
0.640,27.54313
0.660,27.59440
0.680,27.65075
0.700,27.74223
0.720,27.78557
0.740,37.34698
0.760,45.00004
0.780,48.89204
0.800,54.32689
0.820,59.02226
0.840,72.11431
0.860,91.03160
0.880,104.26894
0.900,117.59393
