Force(nN),Distance(Å)
0.000,0.00000
0.020,3.06535
0.040,4.28360
0.060,6.99581
0.080,7.52378
0.100,8.14323
0.120,8.49331
0.140,9.18145
0.160,9.47150
0.180,10.12096
0.200,10.48048
0.220,11.64482
0.240,11.85901
0.260,12.25351
0.280,12.63261
0.300,12.93288
0.320,13.27514
0.340,13.96874
0.360,14.15224
0.380,14.61007
0.400,14.76564
0.420,15.05578
0.440,15.19858
0.460,15.76294
0.480,15.93411
0.500,16.12032
0.520,16.29446
0.540,16.43946
0.560,16.53103
0.580,16.63678
0.600,16.83496
0.620,16.91139
0.640,17.10263
0.660,20.70145
0.680,24.37274
0.700,25.16723
0.720,26.02005
0.740,26.09963
0.760,26.18104
0.780,26.26397
0.800,26.34863
0.820,26.45693
0.840,26.53322
0.860,26.61667
0.880,34.36072
0.900,39.21994
0.920,42.98087
0.940,51.05708
0.960,57.23067
0.980,63.77635
1.000,71.70015
1.020,87.57506
1.040,107.21157
