Force(nN),Distance(Å)
0.000,0.00000
0.020,15.52355
0.040,19.30633
0.060,21.42897
0.080,22.18944
0.100,22.73745
0.120,25.55851
0.140,26.13744
0.160,26.90645
0.180,29.05297
0.200,29.30233
0.220,30.50200
0.240,30.82030
0.260,31.01090
0.280,32.80476
0.300,32.91478
0.320,33.18698
0.340,33.29468
0.360,33.43483
0.380,36.33988
0.400,39.54118
0.420,39.59187
0.440,39.68031
0.460,39.77368
0.480,39.86437
0.500,40.01702
0.520,40.07330
0.540,40.15295
0.560,40.33542
0.580,40.39258
0.600,40.46883
0.620,40.53239
0.640,40.60172
0.660,41.77382
0.680,41.80497
0.700,41.87351
0.720,41.90557
0.740,46.79525
0.760,55.78090
0.780,60.27691
0.800,65.24898
0.820,71.05805
0.840,76.55747
0.860,84.41451
0.880,97.69828
0.900,115.57170
0.920,145.99325
