Force(nN),Distance(Å)
0.000,0.00000
0.020,30.45596
0.040,31.76886
0.060,32.60309
0.080,33.18921
0.100,35.16843
0.120,35.51631
0.140,36.43649
0.160,36.73700
0.180,37.15564
0.200,37.57450
0.220,38.03292
0.240,38.40335
0.260,39.65132
0.280,40.10562
0.300,40.61376
0.320,40.80025
0.340,41.01228
0.360,41.59525
0.380,41.86899
0.400,44.31803
0.420,44.45402
0.440,44.59530
0.460,44.79537
0.480,44.92271
0.500,45.06185
0.520,45.59411
0.540,45.71604
0.560,45.88000
0.580,46.00371
0.600,46.13669
0.620,49.62829
0.640,50.40331
0.660,51.55718
0.680,51.65951
0.700,51.76224
0.720,51.87222
0.740,51.97693
0.760,54.63807
0.780,54.68049
0.800,54.74076
0.820,54.80792
0.840,54.88086
0.860,54.95220
0.880,55.09128
0.900,55.15456
0.920,63.00846
0.940,67.34301
0.960,70.21912
0.980,75.08152
1.000,79.07452
1.020,83.60135
1.040,86.74226
1.060,98.82216
1.080,103.75101
1.100,111.64948
1.120,119.92125
1.140,137.68627
1.160,165.35061
