Force(nN),Distance(Å)
0.000,0.00000
0.020,8.89624
0.040,12.98092
0.060,17.04165
0.080,17.76491
0.100,18.59592
0.120,20.36656
0.140,20.87618
0.160,21.39895
0.180,21.99198
0.200,22.60615
0.220,22.98043
0.240,23.31530
0.260,23.59080
0.280,23.87219
0.300,24.18530
0.320,25.03668
0.340,25.24427
0.360,25.52640
0.380,25.72771
0.400,26.14932
0.420,26.33987
0.440,27.37816
0.460,27.52009
0.480,27.69428
0.500,28.20501
0.520,28.29901
0.540,28.39833
0.560,28.49719
0.580,28.60827
0.600,29.05176
0.620,29.40127
0.640,29.60975
0.660,29.69705
0.680,29.78577
0.700,35.74885
0.720,35.82857
0.740,35.90189
0.760,35.97048
0.780,36.05179
0.800,36.12993
0.820,36.43992
0.840,36.50412
0.860,36.57338
0.880,36.64087
0.900,36.70943
0.920,36.78372
0.940,36.85555
0.960,36.92915
0.980,41.91451
1.000,46.17978
1.020,55.36421
1.040,62.57971
1.060,70.20642
1.080,76.23353
1.100,83.47399
1.120,91.60040
1.140,110.14712
1.160,119.57512
