Force(nN),Distance(Å)
0.000,0.00000
0.020,1.20099
0.040,2.26035
0.060,2.99654
0.080,4.07875
0.100,8.04310
0.120,9.05229
0.140,11.47721
0.160,13.53424
0.180,17.63194
0.200,17.80516
0.220,18.02561
0.240,18.28298
0.260,18.41953
0.280,18.73356
0.300,18.91956
0.320,21.34373
0.340,21.49705
0.360,21.58288
0.380,23.05949
0.400,23.15263
0.420,23.24016
0.440,27.02276
0.460,27.07987
0.480,27.21697
0.500,27.27824
0.520,27.80453
0.540,31.63656
0.560,31.70098
0.580,31.75656
0.600,31.81802
0.620,31.95047
0.640,32.06712
0.660,32.13149
0.680,32.18831
0.700,32.30056
0.720,32.35484
0.740,32.40981
0.760,32.46887
0.780,32.53474
0.800,32.59685
0.820,37.83223
0.840,43.70442
0.860,48.95663
0.880,54.48915
0.900,58.85976
0.920,68.12183
0.940,77.41107
0.960,88.71365
0.980,99.52778
