Stress Force(nN),HBonds
0.000,2
0.020,2
0.040,2
0.060,2
0.080,2
0.100,2
0.120,2
0.140,2
0.160,2
0.180,2
0.200,2
0.220,3
0.240,3
0.260,3
0.280,3
0.300,3
0.320,3
0.340,3
0.360,3
0.380,3
0.400,2
0.420,2
0.440,2
0.460,2
0.480,2
0.500,2
0.520,2
0.540,2
0.560,2
0.580,2
0.600,2
0.620,2
0.640,2
0.660,3
0.680,3
0.700,3
0.720,3
0.740,0
0.760,0
0.780,0
0.800,0
0.820,0
0.840,0
0.860,0
0.880,0
0.900,0
0.920,0
