Force(nN),Distance(Å)
0.000,0.00000
0.020,9.12456
0.040,12.56399
0.060,17.62311
0.080,18.82616
0.100,19.29812
0.120,19.98492
0.140,28.02866
0.160,28.55555
0.180,29.23437
0.200,30.52037
0.220,30.73841
0.240,32.46927
0.260,33.07506
0.280,33.21469
0.300,35.24723
0.320,35.32530
0.340,35.45093
0.360,35.60637
0.380,35.65996
0.400,35.73272
0.420,40.77252
0.440,40.88028
0.460,40.94142
0.480,40.99756
0.500,41.06509
0.520,41.12948
0.540,41.20275
0.560,42.05666
0.580,42.11339
0.600,42.17640
0.620,42.22993
0.640,42.32460
0.660,42.48340
0.680,42.52848
0.700,42.59555
0.720,53.48990
0.740,58.65906
0.760,65.13841
0.780,70.65013
0.800,76.26555
0.820,88.47142
0.840,98.95359
0.860,115.18229
