Force(nN),Distance(Å)
0.000,0.00000
0.020,2.21012
0.040,4.51305
0.060,5.77429
0.080,6.66243
0.100,7.27697
0.120,7.92132
0.140,11.03273
0.160,11.50175
0.180,12.23212
0.200,12.46986
0.220,13.32987
0.240,13.56925
0.260,13.73452
0.280,14.44693
0.300,14.63404
0.320,14.77128
0.340,18.27233
0.360,18.38435
0.380,18.47437
0.400,18.66380
0.420,18.73188
0.440,19.15653
0.460,19.21656
0.480,19.27887
0.500,24.74444
0.520,24.79282
0.540,24.84192
0.560,24.90105
0.580,25.07544
0.600,25.11464
0.620,25.16827
0.640,25.22609
0.660,25.28434
0.680,25.34100
0.700,25.99350
0.720,26.03829
0.740,26.09431
0.760,26.18622
0.780,26.23122
0.800,26.33326
0.820,26.37939
0.840,26.42991
0.860,26.48227
0.880,26.54097
0.900,27.05345
0.920,31.71837
0.940,37.89156
0.960,45.03379
0.980,49.29999
1.000,61.90091
1.020,74.36015
1.040,92.36118
1.060,108.84127
