Stress Force(nN),HBonds
0.000,9
0.020,9
0.040,9
0.060,8
0.080,8
0.100,8
0.120,8
0.140,8
0.160,8
0.180,8
0.200,8
0.220,8
0.240,8
0.260,8
0.280,8
0.300,8
0.320,8
0.340,8
0.360,8
0.380,8
0.400,8
0.420,8
0.440,8
0.460,8
0.480,8
0.500,8
0.520,8
0.540,8
0.560,8
0.580,7
0.600,7
0.620,7
0.640,7
0.660,6
0.680,6
0.700,7
0.720,7
0.740,7
0.760,7
0.780,7
0.800,6
0.820,6
0.840,6
0.860,6
0.880,5
0.900,5
0.920,5
0.940,5
0.960,5
0.980,5
1.000,5
1.020,5
1.040,5
1.060,5
1.080,5
1.100,5
1.120,3
1.140,6
1.160,3
1.180,1
1.200,1
1.220,2
1.240,0
1.260,1
1.280,0
1.300,0
1.320,1
1.340,0
1.360,0
1.380,0
1.400,0
