# Time-averaged data for fix dta
# TimeStep v_myrho v_mylx v_myly v_mylz v_myp
112000 1.34019 42.8655 36.5012 51.2921 -2294.02
113000 1.3406 42.8402 36.5009 51.3071 -1447.1
114000 1.34048 42.8215 36.5094 51.3221 -1071.72
115000 1.33959 42.8157 36.528 51.3371 -747.49
116000 1.33792 42.8188 36.5602 51.3521 -2154.39
117000 1.33656 42.8234 36.5828 51.3671 -2123.72
118000 1.33497 42.8348 36.6059 51.3821 -1339.32
119000 1.33328 42.85 36.6285 51.3971 -1342.53
120000 1.33183 42.8618 36.6477 51.4121 -3090.8
121000 1.33079 42.8677 36.6607 51.4271 -2910.47
122000 1.33 42.8683 36.6714 51.4421 -2897.83
123000 1.32988 42.8539 36.676 51.4571 -2542.4
124000 1.33025 42.8314 36.6746 51.4721 -3173.07
125000 1.33107 42.7998 36.6683 51.4871 -3681.31
126000 1.3317 42.7718 36.6642 51.5021 -966.307
127000 1.33216 42.7443 36.6645 51.5171 -3029.76
128000 1.33297 42.7159 36.6558 51.5321 -2305.7
129000 1.33322 42.7039 36.6487 51.5471 -3282.19
130000 1.33302 42.7083 36.6396 51.5621 -2308.26
131000 1.33259 42.7222 36.629 51.5771 -3073.18
132000 1.33234 42.7438 36.6068 51.5921 -2842.43
133000 1.33214 42.7677 36.5811 51.6071 -3063.06
134000 1.33226 42.7818 36.5552 51.6221 -2975.25
135000 1.33243 42.7977 36.5261 51.6371 -2553.68
136000 1.3326 42.8141 36.4971 51.6521 -2691.89
137000 1.33302 42.8217 36.4685 51.6671 -3724.83
138000 1.33395 42.8177 36.4357 51.6821 -1732.61
139000 1.33512 42.8053 36.4038 51.6971 -1682.66
140000 1.33593 42.7926 36.3821 51.7121 -2098.03
141000 1.33636 42.7814 36.3693 51.7271 -2133.78
142000 1.3368 42.7674 36.3585 51.7421 -2108.98
143000 1.33701 42.7508 36.3567 51.7571 -2046.57
144000 1.33692 42.7365 36.3606 51.7721 -1722.29
145000 1.33634 42.7306 36.371 51.7871 -1532.38
146000 1.33551 42.7277 36.3854 51.8021 -2519.45
147000 1.33407 42.733 36.4098 51.8171 -2901.12
148000 1.33214 42.7369 36.4484 51.8321 -3106.17
149000 1.33019 42.7347 36.4932 51.8471 -2387.86
150000 1.32818 42.7372 36.5358 51.8621 -4191.87
151000 1.32688 42.7329 36.5647 51.8771 -4292.16
152000 1.3261 42.7235 36.5838 51.8921 -6706.73
153000 1.32615 42.7092 36.584 51.9071 -3332.49
154000 1.3265 42.6909 36.5795 51.9221 -3260.29
155000 1.32716 42.6609 36.5764 51.9371 -2548.24
156000 1.32786 42.6296 36.5734 51.9521 -2006.07
157000 1.32875 42.597 36.5662 51.9671 -3195.87
158000 1.32963 42.5645 36.5594 51.9821 -1040.2
