Stress Force(nN),HBonds
0.000,7
0.020,7
0.040,7
0.060,7
0.080,7
0.100,7
0.120,7
0.140,7
0.160,7
0.180,7
0.200,7
0.220,7
0.240,7
0.260,7
0.280,7
0.300,7
0.320,7
0.340,7
0.360,7
0.380,7
0.400,6
0.420,6
0.440,6
0.460,6
0.480,6
0.500,6
0.520,6
0.540,6
0.560,5
0.580,5
0.600,5
0.620,6
0.640,5
0.660,4
0.680,4
0.700,4
0.720,4
0.740,4
0.760,4
0.780,4
0.800,4
0.820,4
0.840,4
0.860,4
0.880,4
0.900,4
0.920,2
0.940,1
0.960,0
0.980,0
1.000,0
1.020,0
1.040,0
1.060,0
1.080,0
1.100,1
1.120,0
1.140,0
1.160,0
