Force(nN),Distance(Å)
0.000,0.00000
0.020,1.74221
0.040,2.98218
0.060,3.56706
0.080,4.44485
0.100,5.02017
0.120,5.67978
0.140,6.54877
0.160,6.85995
0.180,7.99596
0.200,9.02369
0.220,9.22526
0.240,9.71079
0.260,9.89652
0.280,10.22329
0.300,11.62671
0.320,11.93592
0.340,12.11206
0.360,12.42243
0.380,12.53451
0.400,15.53271
0.420,15.61162
0.440,15.69337
0.460,17.80533
0.480,17.88982
0.500,18.05453
0.520,18.13666
0.540,20.19779
0.560,20.26840
0.580,20.33803
0.600,20.57510
0.620,20.64046
0.640,22.12543
0.660,30.37734
0.680,30.53876
0.700,30.59986
0.720,30.71155
0.740,30.77056
0.760,30.82944
0.780,45.94460
0.800,50.63038
0.820,60.58624
0.840,66.71137
0.860,85.06514
0.880,113.73342
