Force(nN),Distance(Å)
0.000,0.00000
0.020,2.01878
0.040,3.41823
0.060,4.36249
0.080,7.84805
0.100,19.20351
0.120,19.68936
0.140,20.23698
0.160,21.02197
0.180,24.47389
0.200,24.60191
0.220,24.74214
0.240,24.93958
0.260,25.04268
0.280,25.34467
0.300,25.45132
0.320,25.63324
0.340,25.74426
0.360,26.02604
0.380,26.15656
0.400,26.30362
0.420,26.70936
0.440,26.82133
0.460,27.05039
0.480,27.15043
0.500,27.27095
0.520,27.79380
0.540,27.86025
0.560,27.94756
0.580,28.05709
0.600,30.38808
0.620,30.44157
0.640,30.52592
0.660,30.89362
0.680,30.95266
0.700,31.02008
0.720,38.15979
0.740,47.04873
0.760,51.46381
0.780,59.18727
0.800,67.12594
0.820,74.93752
0.840,80.65614
0.860,99.12905
0.880,117.26705
