Force(nN),Distance(Å)
0.000,0.00000
0.020,18.77576
0.040,22.37939
0.060,25.03639
0.080,26.13297
0.100,27.61457
0.120,28.14937
0.140,28.76315
0.160,29.09429
0.180,29.68992
0.200,30.22293
0.220,30.49151
0.240,31.23774
0.260,31.60541
0.280,32.15759
0.300,32.43728
0.320,32.82377
0.340,35.61501
0.360,35.75938
0.380,35.89447
0.400,36.50510
0.420,36.60596
0.440,36.71947
0.460,36.98232
0.480,37.07885
0.500,37.20724
0.520,38.62450
0.540,38.71770
0.560,38.83993
0.580,39.02060
0.600,39.12720
0.620,39.21208
0.640,43.05315
0.660,43.13650
0.680,43.22103
0.700,43.32299
0.720,43.40771
0.740,44.23972
0.760,44.31790
0.780,44.51116
0.800,44.58268
0.820,44.65814
0.840,44.73649
0.860,44.97841
0.880,45.04778
0.900,45.13164
0.920,45.20340
0.940,45.46169
0.960,45.55563
0.980,45.72342
1.000,45.79164
1.020,50.59669
1.040,55.88404
1.060,61.47024
1.080,67.97270
1.100,73.18625
1.120,78.73688
1.140,83.80333
1.160,88.37240
1.180,96.96761
1.200,102.63564
