Curve Energy
82750.0 -23803.60583085012
83000.0 -23804.32066451506
83250.0 -23803.81121348097
83500.0 -23803.16506245707
83750.0 -23804.20835756716
84000.0 -23803.91137556962
84250.0 -23803.15161998341
84500.0 -23803.14238866334
84750.0 -23803.0905130814
85000.0 -23802.71480165839
85250.0 -23802.33131793196
85500.0 -23803.25465968018
85750.0 -23803.10778259143
86000.0 -23802.12578070073
86250.0 -23802.1614256413
86500.0 -23803.58488615937
86750.0 -23802.89197476214
87000.0 -23803.54009356665
87250.0 -23802.49659809715
87500.0 -23802.40322793376
87750.0 -23802.3976489392
88000.0 -23803.40788196798
88250.0 -23803.41392510501
88500.0 -23802.69622451845
88750.0 -23802.27748496452
89000.0 -23802.6886653578
89250.0 -23801.80625779386
89500.0 -23802.31162340897
89750.0 -23802.37594632789
90000.0 -23803.03563011454
90250.0 -23803.26626402759
90500.0 -23803.02289994435
90750.0 -23801.91189528244
91000.0 -23801.87180805906
91250.0 -23802.9559427606
91500.0 -23801.41975709091
91750.0 -23801.65964854916
92000.0 -23801.45143603086
92250.0 -23802.42263084758
92500.0 -23801.55055179333
92750.0 -23802.35848110402
93000.0 -23801.65493340649
93250.0 -23802.37184004487
93500.0 -23802.07774358612
93750.0 -23802.77509373205
94000.0 -23803.1099299027
94250.0 -23802.41192445537
94500.0 -23803.17803821175
94750.0 -23802.54559703703
95000.0 -23802.42258232601
95250.0 -23802.05016528022
95500.0 -23801.70918956893
95750.0 -23800.47597453952
96000.0 -23801.90918873927
96250.0 -23801.88765129736
96500.0 -23802.39452969549
96750.0 -23802.49879430824
97000.0 -23802.16601666384
97250.0 -23803.19771117538
97500.0 -23802.00652445471
97750.0 -23802.04245607806
98000.0 -23801.39211918261
98250.0 -23801.18507512905
98500.0 -23801.70530690844
98750.0 -23801.74279611197
99000.0 -23802.74157213108
99250.0 -23801.97058371884
99500.0 -23803.77286024781
99750.0 -23803.08651401788
100000.0 -23801.99011067152
100250.0 -23803.91763276943
100500.0 -23803.22010446865
100750.0 -23803.25116853234
101000.0 -23803.04191385733
101250.0 -23802.55733661766
101500.0 -23803.2560513869
101750.0 -23802.08474160636
102000.0 -23803.1032618517
102250.0 -23802.07461715891
102500.0 -23801.51153672587
102750.0 -23802.23872584042
103000.0 -23802.4131591646
103250.0 -23802.61523470163
103500.0 -23803.71405398046
103750.0 -23803.03866437152
104000.0 -23803.24727796319
104250.0 -23803.07993460455
104500.0 -23803.16123981506
104750.0 -23803.48119824543
105000.0 -23803.04335881324
105250.0 -23802.71671408918
105500.0 -23802.24584033216
105750.0 -23803.95584290628
106000.0 -23802.31859980135
106250.0 -23802.75921925178
106500.0 -23803.04346555441
106750.0 -23802.88698602674
107000.0 -23803.7193703645
107250.0 -23802.40988705533
107500.0 -23803.60941513527
107750.0 -23803.68528216688
108000.0 -23803.94719055438
108250.0 -23804.42104936943
108500.0 -23805.07613861296
108750.0 -23803.31023599556
109000.0 -23804.06235271711
109250.0 -23803.2101954694
109500.0 -23803.00085780931
109750.0 -23802.32536658644
110000.0 -23803.43130907563
110250.0 -23803.57957726779
110500.0 -23803.4342945782
110750.0 -23803.45207298754
111000.0 -23802.20533486197
111250.0 -23803.49577975065
111500.0 -23804.30915903236
111750.0 -23803.21905678632
112000.0 -23803.42707941757
112250.0 -23804.16970094688
112500.0 -23804.22768046358
112750.0 -23803.34316020332
113000.0 -23804.13980574739
113250.0 -23804.51830936044
113500.0 -23803.90234752016
113750.0 -23804.11608148583
114000.0 -23804.05153874189
114250.0 -23803.95315385473
114500.0 -23802.82355303914
114750.0 -23803.4948568904
115000.0 -23804.78031514115
115250.0 -23804.8749104391
115500.0 -23803.59718823829
115750.0 -23803.9933980525
116000.0 -23804.27157973445
116250.0 -23805.16211898487
116500.0 -23805.63933924214
116750.0 -23805.42461024884
117000.0 -23805.81205564336
117250.0 -23804.33498551177
117500.0 -23804.98595260234
117750.0 -23804.54969846742
118000.0 -23805.02325409424
118250.0 -23804.01560440531
118500.0 -23805.48399187919
118750.0 -23805.29254668655
119000.0 -23806.94075842266
119250.0 -23807.11218585545
119500.0 -23806.78172437469
119750.0 -23806.0240586569
120000.0 -23805.99547188586
120250.0 -23805.75341633063
120500.0 -23805.70054945448
120750.0 -23805.62333349883
121000.0 -23805.59450418432
121250.0 -23804.94920173861
121500.0 -23805.64768573319
121750.0 -23804.10949129145
122000.0 -23804.61318957455
122250.0 -23804.91573889806
122500.0 -23805.14090088571
122750.0 -23804.5865304926
123000.0 -23804.30856445114
123250.0 -23805.08505505179
123500.0 -23805.88526109172
123750.0 -23804.03739004424
124000.0 -23804.0282401775
124250.0 -23805.19595501797
124500.0 -23804.81879477921
124750.0 -23805.05220748764
125000.0 -23804.25848169292
125250.0 -23803.42887483005
125500.0 -23804.31710224829
125750.0 -23805.40577069245
126000.0 -23804.99857858288
126250.0 -23804.80625518366
126500.0 -23804.71950814145
126750.0 -23804.72851119932
127000.0 -23804.95464961926
127250.0 -23803.35030036945
127500.0 -23803.44132122524
127750.0 -23803.81158565436
128000.0 -23803.03049828321
128250.0 -23803.69929669293
128500.0 -23803.59446291065
128750.0 -23803.0143958623
129000.0 -23803.70615109337
129250.0 -23802.93701417683
129500.0 -23803.14923998051
129750.0 -23803.73761236063
130000.0 -23804.58362289413
130250.0 -23803.14349933848
130500.0 -23803.91160928013
130750.0 -23803.27691064213
131000.0 -23804.29748896255
131250.0 -23802.59034529569
131500.0 -23803.0857500661
131750.0 -23802.83276701496
132000.0 -23801.90897508627
132250.0 -23802.99909774203
132500.0 -23803.11345104222
132750.0 -23803.89011967133
133000.0 -23802.0916995821
133250.0 -23802.15148624226
133500.0 -23803.33891123018
133750.0 -23803.42229112891
134000.0 -23803.8439195787
134250.0 -23803.36179825268
134500.0 -23802.58165937407
134750.0 -23803.43487784714
135000.0 -23802.59030105671
135250.0 -23803.13482440835
135500.0 -23803.06616725209
135750.0 -23802.88730585091
136000.0 -23803.13865196926
136250.0 -23803.65599970831
