Force(nN),Distance(Å)
0.000,0.00000
0.020,9.94570
0.040,12.85374
0.060,14.60169
0.080,15.78623
0.100,16.33181
0.120,18.02613
0.140,18.23860
0.160,18.39417
0.180,19.17666
0.200,19.37793
0.220,19.55278
0.240,19.81183
0.260,19.94565
0.280,20.36776
0.300,21.23522
0.320,21.25835
0.340,21.36436
0.360,21.44378
0.380,21.57296
0.400,21.66371
0.420,21.82178
0.440,21.93039
0.460,22.18826
0.480,22.31282
0.500,22.39662
0.520,22.70718
0.540,22.78375
0.560,22.88120
0.580,23.02844
0.600,23.34297
0.620,23.40829
0.640,23.50176
0.660,23.59167
0.680,23.64729
0.700,23.71053
0.720,23.82171
0.740,23.88092
0.760,23.94714
0.780,24.11623
0.800,24.17509
0.820,24.23459
0.840,24.29949
0.860,24.41990
0.880,24.47928
0.900,24.54424
0.920,26.37834
0.940,26.59006
0.960,26.65352
0.980,39.26341
1.000,44.70214
1.020,49.69351
1.040,53.82822
1.060,58.97044
1.080,66.67624
1.100,74.39853
1.120,79.16875
1.140,95.84524
1.160,116.92044
