Force(nN),Distance(Å)
0.000,0.00000
0.020,10.17345
0.040,12.93881
0.060,14.79109
0.080,15.59165
0.100,16.62042
0.120,17.26373
0.140,19.53713
0.160,19.94577
0.180,20.89975
0.200,21.10603
0.220,22.50210
0.240,22.70520
0.260,22.81532
0.280,23.00365
0.300,23.62534
0.320,23.71122
0.340,23.85969
0.360,23.94278
0.380,24.61522
0.400,24.69284
0.420,24.80537
0.440,24.87901
0.460,24.95940
0.480,25.04495
0.500,25.28098
0.520,25.35863
0.540,25.43412
0.560,25.51270
0.580,25.59242
0.600,26.32690
0.620,26.40539
0.640,26.48908
0.660,26.57354
0.680,26.65485
0.700,26.77795
0.720,26.84432
0.740,27.46149
0.760,27.53421
0.780,27.61277
0.800,27.69241
0.820,27.93131
0.840,28.05886
0.860,28.33288
0.880,28.39389
0.900,28.46031
0.920,28.52790
0.940,28.99251
0.960,29.05151
0.980,32.17983
1.000,35.27504
1.020,41.19673
1.040,45.58415
1.060,50.00691
1.080,53.97265
1.100,54.68443
1.120,62.79986
1.140,75.68296
1.160,80.52833
1.180,91.76515
1.200,115.72727
1.220,123.90304
