Force(nN),Distance(Å)
0.000,0.00000
0.020,14.81270
0.040,17.40492
0.060,18.68980
0.080,21.15327
0.100,21.87867
0.120,24.25619
0.140,24.67363
0.160,25.49820
0.180,25.79088
0.200,28.09215
0.220,28.29970
0.240,28.53364
0.260,28.64239
0.280,29.46871
0.300,29.55235
0.320,29.69062
0.340,29.82947
0.360,29.89481
0.380,30.06722
0.400,30.13514
0.420,30.26284
0.440,30.37892
0.460,30.49055
0.480,30.65439
0.500,30.71205
0.520,30.80423
0.540,30.85716
0.560,31.03683
0.580,31.10624
0.600,31.18907
0.620,31.34536
0.640,31.44213
0.660,31.49370
0.680,31.70275
0.700,31.75265
0.720,31.79542
0.740,31.85332
0.760,32.22586
0.780,32.26210
0.800,32.32694
0.820,36.90274
0.840,57.18209
0.860,62.98293
0.880,67.58509
0.900,73.30061
0.920,79.28747
0.940,89.63613
0.960,102.37500
