Stress Force(nN),Crossovers
0.000,4
0.020,3
0.040,3
0.060,3
0.080,3
0.100,1
0.120,3
0.140,1
0.160,1
0.180,3
0.200,1
0.220,1
0.240,2
0.260,2
0.280,2
0.300,2
0.320,2
0.340,2
0.360,2
0.380,2
0.400,2
0.420,2
0.440,2
0.460,2
0.480,2
0.500,2
0.520,2
0.540,2
0.560,2
0.580,2
0.600,2
0.620,2
0.640,2
0.660,2
0.680,2
0.700,2
0.720,2
0.740,2
0.760,2
0.780,2
0.800,2
0.820,2
0.840,2
0.860,2
0.880,0
0.900,1
0.920,2
0.940,3
0.960,0
0.980,0
1.000,0
1.020,0
1.040,3
1.060,1
1.080,0
1.100,1
1.120,3
1.140,3
