Force(nN),Distance(Å)
0.000,0.00000
0.020,4.93200
0.040,7.37210
0.060,9.25039
0.080,11.38546
0.100,12.04579
0.120,12.67779
0.140,13.35111
0.160,13.81134
0.180,14.62409
0.200,15.12738
0.220,15.31711
0.240,16.89505
0.260,17.13561
0.280,17.37193
0.300,17.57306
0.320,17.79676
0.340,18.07073
0.360,18.94036
0.380,19.06336
0.400,19.13263
0.420,19.23498
0.440,19.81774
0.460,20.21249
0.480,20.27437
0.500,20.43065
0.520,20.49717
0.540,20.52594
0.560,21.31481
0.580,21.37090
0.600,21.41501
0.620,21.47200
0.640,21.58700
0.660,21.63609
0.680,21.69116
0.700,21.74838
0.720,21.92210
0.740,21.97075
0.760,22.02282
0.780,22.12258
0.800,22.16378
0.820,22.21347
0.840,22.26791
0.860,22.32596
0.880,28.61089
0.900,33.94196
0.920,34.79228
0.940,40.02423
0.960,44.57339
0.980,49.50566
1.000,55.57091
1.020,61.39437
1.040,67.58309
1.060,72.95387
1.080,80.19900
1.100,87.87188
1.120,105.84114
