Force(nN),Distance(Å)
0.000,0.00000
0.020,7.42669
0.040,14.40430
0.060,15.79518
0.080,17.02367
0.100,28.37192
0.120,29.35604
0.140,29.83637
0.160,30.34314
0.180,30.91505
0.200,38.17223
0.220,38.37414
0.240,38.76528
0.260,39.08791
0.280,39.32539
0.300,39.61580
0.320,40.52793
0.340,40.69954
0.360,41.39560
0.380,41.54976
0.400,41.71357
0.420,41.97114
0.440,42.10227
0.460,42.52174
0.480,44.47430
0.500,44.56518
0.520,44.67228
0.540,45.68795
0.560,45.77134
0.580,45.92836
0.600,46.00255
0.620,46.06738
0.640,51.42929
0.660,51.61498
0.680,51.66252
0.700,51.76456
0.720,56.59236
0.740,61.68455
0.760,70.22158
0.780,75.01700
0.800,80.11132
0.820,92.60600
0.840,111.06122
0.860,125.88479
