Force(nN),Distance(Å)
0.000,0.00000
0.020,6.39430
0.040,7.86284
0.060,9.92916
0.080,10.82255
0.100,11.13113
0.120,11.56382
0.140,11.80038
0.160,12.07908
0.180,12.25775
0.200,12.45653
0.220,12.60110
0.240,12.90145
0.260,13.04058
0.280,13.14097
0.300,13.32639
0.320,13.41694
0.340,13.51253
0.360,13.61081
0.380,14.03483
0.400,14.10449
0.420,14.18665
0.440,14.26853
0.460,14.33267
0.480,14.49504
0.500,14.64221
0.520,14.69961
0.540,14.76738
0.560,15.20127
0.580,15.25898
0.600,15.33556
0.620,15.38985
0.640,15.54973
0.660,15.60314
0.680,15.65809
0.700,15.82828
0.720,15.88040
0.740,17.61679
0.760,17.65998
0.780,17.70670
0.800,17.76334
0.820,17.85673
0.840,17.89376
0.860,25.57495
0.880,36.59562
0.900,41.98112
0.920,44.42352
0.940,50.74423
0.960,66.48073
0.980,84.36749
1.000,123.28304
