Force(nN),Distance(Å)
0.000,0.00000
0.020,15.81120
0.040,17.57099
0.060,18.15815
0.080,18.64049
0.100,18.97218
0.120,19.33815
0.140,19.79804
0.160,20.10394
0.180,20.54411
0.200,20.83837
0.220,21.83387
0.240,22.58053
0.260,22.70530
0.280,23.06655
0.300,23.91061
0.320,24.02714
0.340,24.30030
0.360,24.40100
0.380,24.55963
0.400,24.74354
0.420,25.05233
0.440,25.14958
0.460,25.53459
0.480,25.61760
0.500,25.71337
0.520,25.86455
0.540,25.95012
0.560,26.03571
0.580,26.21197
0.600,26.29975
0.620,26.36779
0.640,26.55794
0.660,26.64191
0.680,26.70517
0.700,26.81668
0.720,26.92429
0.740,26.98157
0.760,27.20385
0.780,27.29645
0.800,28.03540
0.820,28.09501
0.840,28.31882
0.860,31.98051
0.880,36.78713
0.900,42.41363
0.920,48.68942
0.940,53.70904
0.960,57.90639
0.980,64.03530
1.000,67.83793
1.020,73.41342
1.040,76.60656
1.060,88.78682
1.080,97.13587
1.100,117.72664
