Force(nN),Distance(Å)
0.000,0.00000
0.020,19.52649
0.040,22.00991
0.060,23.69906
0.080,24.46997
0.100,25.15532
0.120,25.81920
0.140,26.40167
0.160,26.92560
0.180,27.31226
0.200,27.82087
0.220,29.20579
0.240,29.56901
0.260,29.77761
0.280,30.01919
0.300,30.30466
0.320,33.02530
0.340,33.37271
0.360,33.49893
0.380,33.64387
0.400,33.82712
0.420,33.92916
0.440,34.05265
0.460,35.04741
0.480,35.11282
0.500,35.16961
0.520,38.04413
0.540,38.10859
0.560,38.17973
0.580,38.44983
0.600,38.51458
0.620,38.63978
0.640,41.57510
0.660,41.61746
0.680,41.70431
0.700,41.74430
0.720,41.79002
0.740,41.84678
0.760,42.14409
0.780,42.19740
0.800,42.24379
0.820,48.56862
0.840,53.48546
0.860,61.00738
0.880,66.61299
0.900,73.90632
0.920,84.04250
0.940,88.84110
0.960,111.88237
