Stress Force(nN),HBonds
0.000,6
0.020,5
0.040,6
0.060,6
0.080,6
0.100,6
0.120,6
0.140,6
0.160,6
0.180,6
0.200,6
0.220,6
0.240,6
0.260,4
0.280,4
0.300,3
0.320,3
0.340,3
0.360,3
0.380,3
0.400,3
0.420,3
0.440,3
0.460,3
0.480,3
0.500,3
0.520,3
0.540,3
0.560,3
0.580,3
0.600,4
0.620,4
0.640,4
0.660,4
0.680,4
0.700,4
0.720,3
0.740,3
0.760,3
0.780,3
0.800,3
0.820,3
0.840,3
0.860,3
0.880,2
0.900,2
0.920,2
0.940,2
0.960,2
0.980,1
1.000,0
1.020,1
1.040,1
1.060,2
1.080,1
1.100,2
1.120,0
1.140,0
1.160,0
