Force(nN),Distance(Å)
0.000,0.00000
0.020,4.59211
0.040,5.88077
0.060,7.58503
0.080,8.71875
0.100,9.24600
0.120,9.57332
0.140,10.22149
0.160,10.46911
0.180,10.62000
0.200,10.72107
0.220,11.07746
0.240,11.20897
0.260,11.52652
0.280,11.63865
0.300,11.73000
0.320,11.94023
0.340,12.01682
0.360,12.20971
0.380,12.31735
0.400,12.37772
0.420,12.44237
0.440,12.62583
0.460,12.68950
0.480,12.78075
0.500,12.82872
0.520,12.89339
0.540,13.00912
0.560,13.13171
0.580,13.18562
0.600,13.24648
0.620,13.29955
0.640,13.40084
0.660,13.45818
0.680,13.55573
0.700,13.60528
0.720,13.65657
0.740,13.78516
0.760,13.83238
0.780,13.97766
0.800,14.11674
0.820,14.19747
0.840,14.25008
0.860,14.35741
0.880,14.39858
0.900,20.60996
0.920,34.15524
0.940,39.33198
0.960,44.69489
0.980,49.96863
1.000,56.88375
1.020,66.04206
1.040,78.34076
1.060,87.17877
1.080,122.12091
