Force(nN),Distance(Å)
0.000,0.00000
0.020,5.81254
0.040,7.91211
0.060,9.97160
0.080,10.54376
0.100,10.99511
0.120,11.38237
0.140,11.59945
0.160,12.62808
0.180,12.71292
0.200,13.00944
0.220,13.07936
0.240,13.21838
0.260,13.29827
0.280,13.55582
0.300,13.63458
0.320,13.71418
0.340,13.92597
0.360,13.99458
0.380,14.07088
0.400,14.15382
0.420,14.22615
0.440,14.36071
0.460,14.43157
0.480,14.50043
0.500,14.57450
0.520,14.64649
0.540,18.64448
0.560,18.73338
0.580,18.78933
0.600,18.85585
0.620,18.91888
0.640,19.15306
0.660,19.21018
0.680,19.73909
0.700,19.80446
0.720,19.85518
0.740,19.90902
0.760,20.01789
0.780,20.07343
0.800,28.07397
0.820,33.63518
0.840,38.40459
0.860,42.83206
0.880,47.35531
0.900,51.45086
0.920,58.80620
0.940,66.69233
0.960,88.12822
0.980,176.90439
