Force(nN),Distance(Å)
0.000,0.00000
0.020,9.32507
0.040,10.99030
0.060,12.18102
0.080,13.17961
0.100,13.74674
0.120,15.14202
0.140,15.48017
0.160,16.25258
0.180,16.69601
0.200,17.34762
0.220,17.64715
0.240,17.96167
0.260,18.26257
0.280,18.42068
0.300,18.78722
0.320,19.11342
0.340,19.26042
0.360,19.55651
0.380,19.71075
0.400,21.12450
0.420,21.31607
0.440,21.41812
0.460,21.59853
0.480,21.70339
0.500,21.94086
0.520,22.03664
0.540,24.51323
0.560,24.56216
0.580,24.61604
0.600,24.67827
0.620,24.71232
0.640,24.78261
0.660,32.81031
0.680,33.36024
0.700,33.41422
0.720,33.44844
0.740,33.52141
0.760,33.59134
0.780,34.33269
0.800,34.38910
0.820,34.44047
0.840,34.49413
0.860,34.54495
0.880,34.60326
0.900,34.66674
0.920,41.31499
0.940,45.81361
0.960,50.87999
0.980,56.89693
1.000,62.46044
1.020,64.35704
1.040,69.32505
1.060,76.13965
1.080,85.45807
1.100,93.89031
1.120,105.99185
