Force(nN),Distance(Å)
0.000,0.00000
0.020,16.30336
0.040,17.59858
0.060,18.26280
0.080,18.67604
0.100,19.16129
0.120,19.44188
0.140,20.63699
0.160,20.85821
0.180,21.10889
0.200,21.36680
0.220,21.47304
0.240,22.10796
0.260,22.17842
0.280,22.38294
0.300,22.45556
0.320,22.73178
0.340,22.82564
0.360,22.90082
0.380,24.13549
0.400,24.17212
0.420,24.55412
0.440,24.61716
0.460,26.12469
0.480,26.18636
0.500,26.25328
0.520,26.35210
0.540,27.67676
0.560,27.71593
0.580,27.73965
0.600,27.79487
0.620,28.06636
0.640,28.08844
0.660,28.26481
0.680,28.28754
0.700,28.33118
0.720,28.42302
0.740,28.44480
0.760,29.14720
0.780,29.18097
0.800,29.22061
0.820,29.26601
0.840,29.30011
0.860,29.46909
0.880,29.51116
0.900,29.54608
0.920,29.58249
0.940,37.48061
0.960,43.75913
0.980,48.15418
1.000,53.02468
1.020,57.53167
1.040,64.47258
1.060,70.97043
1.080,77.26814
1.100,83.02767
1.120,91.00412
1.140,109.80770
