Force(nN),Distance(Å)
0.000,0.00000
0.020,14.31407
0.040,15.23628
0.060,15.80586
0.080,16.46553
0.100,16.86205
0.120,17.72497
0.140,18.03196
0.160,18.37626
0.180,18.59215
0.200,19.96040
0.220,20.15727
0.240,20.48369
0.260,20.62917
0.280,21.21912
0.300,21.52603
0.320,25.30034
0.340,25.40252
0.360,25.56056
0.380,25.65405
0.400,26.70317
0.420,26.76873
0.440,26.87302
0.460,26.93352
0.480,27.17638
0.500,27.24847
0.520,27.48196
0.540,27.55360
0.560,27.62645
0.580,28.78949
0.600,28.84618
0.620,28.94174
0.640,29.05065
0.660,29.10586
0.680,29.25252
0.700,29.33140
0.720,29.39215
0.740,29.45992
0.760,36.42887
0.780,43.05189
0.800,46.23472
0.820,50.56594
0.840,54.21452
0.860,58.26942
0.880,63.58394
0.900,69.48933
0.920,72.87796
0.940,77.50826
0.960,83.33180
0.980,89.42050
1.000,94.81246
1.020,107.87866
1.040,125.23485
