Force(nN),Distance(Å)
0.000,0.00000
0.020,4.79350
0.040,6.90083
0.060,8.41176
0.080,9.49535
0.100,10.35144
0.120,12.22136
0.140,12.76448
0.160,13.60105
0.180,14.01877
0.200,14.49374
0.220,14.64408
0.240,14.86738
0.260,15.01597
0.280,15.25896
0.300,15.40483
0.320,15.53617
0.340,15.75702
0.360,15.87304
0.380,16.28518
0.400,16.41664
0.420,16.52052
0.440,16.68273
0.460,16.78407
0.480,16.97119
0.500,17.14150
0.520,17.23094
0.540,17.83519
0.560,17.90919
0.580,18.30603
0.600,18.40500
0.620,18.47131
0.640,18.55218
0.660,18.62646
0.680,18.73788
0.700,18.80382
0.720,18.88028
0.740,18.99605
0.760,19.06862
0.780,19.18155
0.800,19.24905
0.820,19.31797
0.840,19.39150
0.860,19.49894
0.880,19.61603
0.900,19.68833
0.920,19.75997
0.940,20.59722
0.960,20.65949
0.980,20.72748
1.000,20.80206
1.020,20.93885
1.040,20.99099
1.060,21.05646
1.080,25.51858
1.100,31.56225
1.120,37.07773
1.140,42.20713
1.160,46.58906
1.180,51.61941
1.200,56.58856
1.220,64.29583
1.240,68.51324
1.260,74.04180
1.280,79.75897
1.300,92.59344
1.320,112.02537
