Stress Force(nN),HBonds
0.000,4
0.020,4
0.040,4
0.060,4
0.080,4
0.100,4
0.120,4
0.140,4
0.160,3
0.180,3
0.200,3
0.220,3
0.240,3
0.260,3
0.280,2
0.300,2
0.320,4
0.340,4
0.360,4
0.380,4
0.400,3
0.420,3
0.440,3
0.460,3
0.480,3
0.500,3
0.520,3
0.540,3
0.560,3
0.580,3
0.600,3
0.620,3
0.640,3
0.660,3
0.680,3
0.700,3
0.720,3
0.740,3
0.760,1
0.780,2
0.800,0
0.820,0
0.840,0
0.860,0
0.880,0
0.900,1
0.920,1
0.940,1
0.960,1
0.980,1
1.000,0
1.020,0
1.040,0
