Force(nN),Distance(Å)
0.000,0.00000
0.020,7.51762
0.040,9.45410
0.060,10.61187
0.080,11.20199
0.100,11.86743
0.120,12.23987
0.140,12.62447
0.160,12.90341
0.180,13.46553
0.200,13.74322
0.220,14.36651
0.240,14.59414
0.260,14.83642
0.280,15.02614
0.300,17.05977
0.320,17.22867
0.340,17.35318
0.360,17.60774
0.380,17.74009
0.400,17.88614
0.420,18.09147
0.440,18.19772
0.460,19.09977
0.480,19.18889
0.500,19.28045
0.520,19.38165
0.540,19.48825
0.560,19.70669
0.580,20.31655
0.600,20.38293
0.620,20.63057
0.640,20.69266
0.660,20.75293
0.680,21.01204
0.700,21.52356
0.720,21.57359
0.740,21.67202
0.760,21.72340
0.780,28.71973
0.800,35.11407
0.820,37.57480
0.840,42.52842
0.860,50.79721
0.880,57.12557
0.900,61.60955
0.920,69.02478
0.940,84.11119
0.960,98.17928
