Force(nN),Distance(Å)
0.000,0.00000
0.020,15.24989
0.040,20.64010
0.060,26.79250
0.080,28.05457
0.100,29.99713
0.120,30.61412
0.140,32.86545
0.160,33.09857
0.180,33.26579
0.200,33.60049
0.220,33.76224
0.240,33.89060
0.260,34.37554
0.280,34.50446
0.300,34.79150
0.320,34.91121
0.340,35.11732
0.360,35.21315
0.380,38.41648
0.400,38.53022
0.420,39.23277
0.440,39.30155
0.460,39.37466
0.480,39.99052
0.500,40.10179
0.520,40.16780
0.540,40.33201
0.560,40.39385
0.580,40.47149
0.600,40.73140
0.620,40.78690
0.640,40.86198
0.660,41.01720
0.680,41.06912
0.700,41.91260
0.720,41.98357
0.740,44.96323
0.760,45.02237
0.780,45.13210
0.800,44.81553
0.820,49.41907
0.840,54.25344
0.860,55.16964
0.880,55.21218
0.900,55.25565
0.920,55.30274
0.940,60.23571
0.960,63.99402
0.980,67.66653
1.000,73.06229
1.020,85.76332
1.040,93.22229
1.060,100.64183
1.080,112.73803
1.100,133.67417
