Force(nN),Distance(Å)
0.000,0.00000
0.020,5.00701
0.040,8.72051
0.060,10.45739
0.080,12.49380
0.100,13.18067
0.120,13.93649
0.140,15.41405
0.160,15.74005
0.180,16.08076
0.200,16.62183
0.220,16.90938
0.240,18.10459
0.260,19.13875
0.280,19.36735
0.300,19.52356
0.320,20.17057
0.340,21.67275
0.360,21.80240
0.380,22.07588
0.400,22.31223
0.420,22.56259
0.440,24.69803
0.460,24.77096
0.480,24.84285
0.500,25.15662
0.520,25.22793
0.540,25.30102
0.560,25.48619
0.580,25.55067
0.600,25.74631
0.620,25.80857
0.640,26.04926
0.660,26.13974
0.680,27.12518
0.700,27.21878
0.720,27.31462
0.740,27.47624
0.760,31.45620
0.780,38.33155
0.800,43.29307
0.820,48.24661
0.840,52.30373
0.860,56.42884
0.880,66.87226
0.900,71.42062
0.920,81.40659
0.940,85.72620
0.960,94.77284
0.980,102.00450
1.000,116.62544
