Force(nN),Distance(Å)
0.000,0.00000
0.020,4.32234
0.040,5.51798
0.060,6.31229
0.080,6.98609
0.100,7.14287
0.120,7.78568
0.140,7.89891
0.160,8.11857
0.180,8.39726
0.200,8.71606
0.220,8.91287
0.240,9.07284
0.260,10.17143
0.280,10.31495
0.300,10.52140
0.320,10.65049
0.340,10.93030
0.360,11.07027
0.380,11.30185
0.400,11.43523
0.420,11.61643
0.440,11.80225
0.460,11.91820
0.480,12.13098
0.500,12.28417
0.520,12.41318
0.540,12.64538
0.560,12.95402
0.580,13.35739
0.600,13.44475
0.620,13.57505
0.640,13.65911
0.660,13.79702
0.680,13.89018
0.700,13.97940
0.720,14.07352
0.740,14.16316
0.760,14.33415
0.780,14.39631
0.800,21.36146
0.820,21.37150
0.840,23.86481
0.860,23.92514
0.880,26.57528
0.900,31.95188
0.920,35.98598
0.940,40.08985
0.960,42.71474
0.980,42.77364
1.000,46.51786
1.020,50.58506
1.040,58.46699
1.060,65.92313
1.080,71.90994
1.100,77.68183
1.120,87.37421
1.140,100.06602
1.160,133.36478
