Force(nN),Distance(Å)
0.000,0.00000
0.020,6.74484
0.040,9.16433
0.060,10.54786
0.080,11.58785
0.100,12.47065
0.120,13.67467
0.140,14.15007
0.160,14.59718
0.180,15.02177
0.200,15.38399
0.220,15.74752
0.240,16.14963
0.260,16.42645
0.280,16.71007
0.300,16.90303
0.320,17.27623
0.340,17.53052
0.360,18.25948
0.380,18.62096
0.400,18.94523
0.420,20.32448
0.440,20.47162
0.460,20.60699
0.480,20.80008
0.500,20.90855
0.520,21.13803
0.540,21.26307
0.560,21.36698
0.580,21.93932
0.600,22.04360
0.620,22.13449
0.640,22.23416
0.660,22.33470
0.680,22.43337
0.700,22.62958
0.720,22.71440
0.740,22.83708
0.760,22.91934
0.780,23.12230
0.800,23.20822
0.820,23.90880
0.840,23.97955
0.860,24.56612
0.880,24.63582
0.900,24.69844
0.920,24.77623
0.940,24.85398
0.960,28.00016
0.980,28.06315
1.000,28.12293
1.020,28.18653
1.040,28.48839
1.060,28.54073
1.080,28.59609
1.100,28.65261
1.120,28.70580
1.140,28.76355
1.160,28.82192
1.180,29.11911
1.200,29.17212
1.220,29.22703
1.240,33.18832
1.260,38.97148
1.280,43.32794
1.300,46.91235
1.320,50.45779
1.340,59.88374
1.360,64.47463
1.380,67.03357
1.400,74.75832
1.420,79.40851
1.440,84.33853
1.460,88.69670
1.480,93.88630
1.500,98.46774
1.520,113.31932
1.540,142.73351
