# Time-averaged data for fix dta
# TimeStep v_myrho v_mylx v_myly v_mylz v_myp
99000 1.26562 44.2178 37.5311 49.5532 -1330.41
100000 1.26622 44.2328 37.5021 49.5512 -1604.2
101000 1.2664 44.2478 37.4866 49.548 689.83
102000 1.26601 44.2628 37.4883 49.5442 -1899.35
103000 1.26501 44.2778 37.5075 49.5411 -2457.98
104000 1.2637 44.2928 37.5366 49.5373 -1700.1
105000 1.26231 44.3078 37.5765 49.5224 -2112.91
106000 1.26156 44.3228 37.6129 49.4871 -1247.33
107000 1.2612 44.3378 37.6435 49.4444 -2540.72
108000 1.26066 44.3528 37.6693 49.415 -1972.15
109000 1.26004 44.3678 37.6919 49.3929 -865.347
110000 1.26011 44.3828 37.7033 49.3584 -781.913
111000 1.26014 44.3978 37.7122 49.3288 -2483.37
112000 1.25982 44.4128 37.7237 49.3097 -1144
113000 1.25994 44.4278 37.726 49.2853 -131.964
114000 1.25982 44.4428 37.7251 49.2745 -2857.18
115000 1.25944 44.4578 37.7221 49.277 -1437.72
116000 1.25913 44.4728 37.7191 49.2764 -2040.44
117000 1.2589 44.4878 37.7128 49.2769 -3183.83
118000 1.25884 44.5028 37.6967 49.2836 -2199.06
119000 1.25841 44.5178 37.6835 49.3012 -1514.43
120000 1.25802 44.5328 37.6731 49.3135 -1311.28
121000 1.25798 44.5478 37.6605 49.315 -2336.32
122000 1.25768 44.5628 37.649 49.325 -1839.81
123000 1.25681 44.5778 37.6415 49.3523 -2775.32
124000 1.2566 44.5928 37.6222 49.3693 -1424.6
125000 1.25654 44.6078 37.6011 49.3831 -756.715
126000 1.25661 44.6228 37.5822 49.3884 -2517.46
127000 1.25631 44.6378 37.5724 49.3965 -1444.42
128000 1.25561 44.6528 37.5713 49.4087 444.554
129000 1.25492 44.6678 37.5744 49.4152 -3279.77
130000 1.25444 44.6828 37.5801 49.41 -1441.88
131000 1.25405 44.6978 37.5886 49.3979 -572.193
132000 1.25419 44.7128 37.589 49.3751 -1308.66
133000 1.25479 44.7278 37.5825 49.3433 -1527.68
134000 1.25513 44.7428 37.5778 49.3197 -1065.63
135000 1.25538 44.7578 37.5746 49.2975 -1256.53
136000 1.25533 44.7728 37.5757 49.2816 -1885.29
137000 1.25512 44.7878 37.5735 49.2763 -855.191
138000 1.25477 44.8028 37.5681 49.2806 -2152.18
139000 1.25426 44.8178 37.5643 49.2892 -1209.87
140000 1.25397 44.8328 37.5569 49.2937 -557.972
141000 1.25398 44.8478 37.5419 49.2966 -1523.86
142000 1.25444 44.8628 37.521 49.2894 -1182.82
143000 1.25489 44.8778 37.5038 49.2779 -1189.47
144000 1.25556 44.8928 37.4875 49.2566 -818.592
145000 1.25621 44.9078 37.4791 49.2258 -2973.42
146000 1.25679 44.9228 37.474 49.193 -2719.75
147000 1.25726 44.9378 37.469 49.1651 -3407.19
148000 1.25778 44.9528 37.4629 49.1361 -1658.32
149000 1.25839 44.9678 37.4592 49.1009 -1080.38
150000 1.25915 44.9828 37.4567 49.0582 -1270.78
151000 1.25916 44.9978 37.4617 49.0347 -2361.08
152000 1.25818 45.0128 37.4846 49.0266 -1728.43
153000 1.25633 45.0278 37.5249 49.03 -214.62
154000 1.25377 45.0428 37.5806 49.0408 -1676.16
155000 1.25083 45.0578 37.6496 49.0494 -738.831
156000 1.24743 45.0728 37.7307 49.0613 -3821.46
157000 1.2445 45.0878 37.8005 49.0695 -2155.67
158000 1.24212 45.1028 37.86 49.07 -2217.7
159000 1.24102 45.1178 37.9021 49.0428 -1328.02
160000 1.2409 45.1328 37.9287 48.9967 -2953.9
161000 1.2412 45.1478 37.9537 48.9364 -3494.24
162000 1.24164 45.1628 37.9648 48.8886 -1410.91
163000 1.24209 45.1778 37.9638 48.8558 -1261.27
164000 1.24326 45.1928 37.9434 48.82 -1434.45
165000 1.24506 45.2078 37.8994 48.7896 -1098.88
166000 1.24702 45.2228 37.8503 48.76 -2533
167000 1.24911 45.2378 37.7883 48.7422 -432.156
168000 1.25107 45.2528 37.7192 48.7387 -2130.95
169000 1.25271 45.2678 37.6486 48.7502 -2353.04
170000 1.25385 45.2828 37.583 48.7746 -2559.5
171000 1.25446 45.2978 37.5277 48.8065 -2374.68
172000 1.25481 45.3128 37.4768 48.843 -2287.78
173000 1.25491 45.3278 37.4357 48.8764 -1133.4
174000 1.25425 45.3428 37.4176 48.9097 -627.909
175000 1.25284 45.3578 37.4197 48.946 -760.879
176000 1.25118 45.3728 37.4273 48.9847 -1070.22
177000 1.24968 45.3878 37.4392 49.0116 -1259.71
178000 1.24823 45.4028 37.4562 49.0302 -2034.9
179000 1.2475 45.4178 37.4667 49.0289 -3469.56
